# SMSH 12-byte voice records.
program	kind	fixed_pitch	key	length	pan_sweep	source	attack	decay	sustain	release
0	pulse_1	false	60	0	0	2	0	0	15	0
1	pulse_1	false	60	0	0	2	0	0	15	0
2	pulse_1	false	60	0	0	2	0	0	15	0
3	pulse_1	false	60	0	0	2	0	0	15	0
4	pulse_1	false	60	0	0	2	0	0	15	0
5	pulse_1	false	60	0	0	2	0	0	15	0
6	pulse_1	false	60	0	0	2	0	0	15	0
7	pulse_1	false	60	0	0	2	0	0	15	0
8	pcm	false	60	0	0	direct_sound_samples/wave_00.pcm8.wav	255	0	255	165
9	pulse_1	false	60	0	0	2	0	0	15	0
10	pulse_1	false	60	0	0	2	0	0	15	0
11	pulse_1	false	60	0	0	2	0	0	15	0
12	pulse_1	false	60	0	0	2	0	0	15	0
13	pulse_1	false	60	0	0	2	0	0	15	0
14	pulse_1	false	60	0	0	2	0	0	15	0
15	pulse_1	false	60	0	0	2	0	0	15	0
16	pulse_1	false	60	0	0	2	0	0	15	0
17	pulse_1	false	60	0	0	2	0	0	15	0
18	pulse_1	false	60	0	0	2	0	0	15	0
19	pulse_1	false	60	0	0	2	0	0	15	0
20	pulse_1	false	60	0	0	2	0	0	15	0
21	pulse_1	false	60	0	0	2	0	0	15	0
22	pulse_1	false	60	0	0	2	0	0	15	0
23	pulse_1	false	60	0	0	2	0	0	15	0
24	pcm	false	60	0	0	direct_sound_samples/wave_01.pcm8.wav	255	0	255	165
25	pulse_1	false	60	0	0	2	0	0	15	0
26	pulse_1	false	60	0	0	2	0	0	15	0
27	pulse_1	false	60	0	0	2	0	0	15	0
28	pulse_1	false	60	0	0	2	0	0	15	0
29	pulse_1	false	60	0	0	2	0	0	15	0
30	pulse_1	false	60	0	0	2	0	0	15	0
31	pulse_1	false	60	0	0	2	0	0	15	0
32	pulse_1	false	60	0	0	2	0	0	15	0
33	pcm	false	60	0	0	direct_sound_samples/wave_02.pcm8.wav	255	0	255	165
34	wave	true	60	0	0	programmable_wave_samples/wave_17.pcm4	0	2	3	3
35	pulse_1	false	60	0	0	2	0	0	15	0
36	pulse_1	false	60	0	0	2	0	0	15	0
37	pulse_1	false	60	0	0	2	0	0	15	0
38	pulse_1	false	60	0	0	2	0	0	15	0
39	pulse_1	false	60	0	0	2	0	0	15	0
