# SMSH 12-byte voice records. Rhythm-table targets remain named by table offset until decoded.
program	kind	fixed_pitch	key	length	pan_sweep	source	attack	decay	sustain	release
0	pulse_1	true	60	0	0	2	0	4	0	4
1	pulse_1	true	60	0	0	2	0	4	0	2
2	pulse_1	true	60	0	0	2	0	4	0	0
3	pulse_1	true	60	0	0	2	0	7	15	7
4	pulse_2	true	60	0	0	2	0	4	0	4
5	pulse_2	true	60	0	0	2	0	4	0	2
6	pulse_2	true	60	0	0	2	0	4	0	0
7	pulse_2	true	60	0	0	2	0	7	15	7
8	pulse_1	true	60	0	0	3	0	1	9	4
9	pulse_1	false	60	0	0	2	0	0	15	0
10	pulse_1	true	60	0	0	3	0	4	0	4
11	pulse_1	true	60	0	0	3	0	4	0	2
12	pulse_1	true	60	0	0	3	0	4	0	0
13	pulse_1	false	60	0	0	2	0	0	15	0
14	pulse_1	false	60	0	0	2	0	0	15	0
15	pulse_1	false	60	0	0	2	0	0	15	0
16	pulse_1	false	60	0	0	2	0	0	15	0
17	pulse_1	false	60	0	0	2	0	0	15	0
18	pulse_1	false	60	0	0	2	0	0	15	0
19	pulse_1	false	60	0	0	2	0	0	15	0
20	noise	true	60	0	0	0	0	4	0	4
21	noise	true	60	0	0	0	0	4	0	2
22	noise	true	60	0	0	0	0	4	0	0
23	noise	true	60	0	0	0	0	7	15	7
24	pulse_1	false	60	0	0	2	0	0	15	0
25	noise	true	60	0	0	1	0	4	0	4
26	noise	true	60	0	0	1	0	4	0	2
27	noise	true	60	0	0	1	0	4	0	0
28	noise	true	60	0	0	1	0	7	15	7
29	pulse_1	false	60	0	0	2	0	0	15	0
30	noise	true	60	0	0	1	0	4	0	4
31	noise	true	60	0	0	1	0	4	0	2
32	noise	true	60	0	0	1	0	4	0	0
33	noise	true	60	0	0	0	2	0	15	2
34	pulse_1	false	60	0	0	2	0	0	15	0
35	pulse_1	false	60	0	0	2	0	0	15	0
36	pulse_1	false	60	0	0	2	0	0	15	0
37	pulse_1	false	60	0	0	2	0	0	15	0
38	pulse_1	false	60	0	0	2	0	0	15	0
39	pulse_1	false	60	0	0	2	0	0	15	0
40	pulse_1	true	60	0	0	2	1	6	0	6
41	wave	true	60	0	0	programmable_wave_samples/wave_007.pcm4	0	4	0	2
42	noise	true	60	0	0	0	2	7	10	7
43	noise	true	60	0	0	0	0	7	4	3
44	noise	true	60	0	0	0	5	2	6	6
45	pulse_1	false	60	0	0	2	0	0	15	0
46	pulse_1	false	60	0	0	2	0	0	15	0
47	pulse_1	false	60	0	0	2	0	0	15	0
48	pulse_1	false	60	0	0	2	0	0	15	0
49	pulse_1	false	60	0	0	2	0	0	15	0
50	pcm	false	60	0	0	direct_sound_samples/sample_041.pcm8.wav	255	0	255	0
51	pcm	false	60	0	0	direct_sound_samples/sample_042.pcm8.wav	255	0	255	204
52	pcm	false	60	0	0	direct_sound_samples/sample_043.pcm8.wav	255	0	255	216
53	pcm	false	60	0	0	direct_sound_samples/sample_044.pcm8.wav	255	0	255	216
54	pcm	false	60	0	0	direct_sound_samples/sample_045.pcm8.wav	255	0	255	216
55	pcm	false	60	0	0	direct_sound_samples/sample_046.pcm8.wav	255	0	255	188
56	pcm	false	60	0	0	direct_sound_samples/sample_047.pcm8.wav	255	0	255	204
